"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 13:51:46 UTC 2025","Mon Aug 25 13:52:01 UTC 2025","15468","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[gst]",""
"passed","Mon Aug 25 13:56:23 UTC 2025","Mon Aug 25 13:56:49 UTC 2025","25907","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Mon Aug 25 14:03:53 UTC 2025","Mon Aug 25 14:04:10 UTC 2025","17005","src.tests","test_04_flight","TestFlights","","","Verifying data available in the table",""
"passed","Mon Aug 25 13:43:47 UTC 2025","Mon Aug 25 13:44:10 UTC 2025","23406","src.tests","test_02_dashboard","TestDashBoard","","","Click each top module and verify it loads correct view title",""
"broken","Mon Aug 25 14:05:35 UTC 2025","Mon Aug 25 14:06:28 UTC 2025","53526","src.tests","test_04_flight","TestFlights","","","Verifying invoice view functionality",""
"passed","Mon Aug 25 13:56:51 UTC 2025","Mon Aug 25 13:57:43 UTC 2025","51880","src.tests","test_03_credentials","TestCredentials","","","Verify that search bar reduces table results (generic)",""
"passed","Mon Aug 25 13:53:18 UTC 2025","Mon Aug 25 13:53:35 UTC 2025","16837","src.tests","test_03_credentials","TestCredentials","","","test_column_toggle_checkbox_reflects_in_table_headings[airline]",""
"passed","Mon Aug 25 13:43:17 UTC 2025","Mon Aug 25 13:43:28 UTC 2025","11053","src.tests","test_02_dashboard","TestDashBoard","","","All Modules are visible on dashboard",""
"passed","Mon Aug 25 14:02:48 UTC 2025","Mon Aug 25 14:03:12 UTC 2025","23771","src.tests","test_04_flight","TestFlights","","","Verifying upload invoice history list functionality",""
"skipped","Mon Aug 25 13:52:32 UTC 2025","Mon Aug 25 13:52:54 UTC 2025","22581","src.tests","test_03_credentials","TestCredentials","","","test_toggle_buttons_expand_and_collapse[email]",""
"passed","Mon Aug 25 13:49:37 UTC 2025","Mon Aug 25 13:49:52 UTC 2025","15149","src.tests","test_03_credentials","TestCredentials","","","verifying the no of the cards",""
"failed","Mon Aug 25 14:06:31 UTC 2025","Mon Aug 25 14:06:50 UTC 2025","19115","src.tests","test_04_flight","TestFlights","","","Verifying table header pinned functionality",""
"broken","Mon Aug 25 13:57:46 UTC 2025","Mon Aug 25 13:57:59 UTC 2025","13459","src.tests","test_04_flight","TestFlights","","","verifying the flight table heading label name",""
"passed","Mon Aug 25 13:42:49 UTC 2025","Mon Aug 25 13:42:50 UTC 2025","794","src.tests","test_02_dashboard","TestDashBoard","","","Redirect to login if not authenticated",""
"broken","Mon Aug 25 14:04:42 UTC 2025","Mon Aug 25 14:05:05 UTC 2025","22832","src.tests","test_04_flight","TestFlights","","","Verifying table_headers_search_and_select_functionality",""
"passed","Mon Aug 25 13:43:31 UTC 2025","Mon Aug 25 13:43:44 UTC 2025","13013","src.tests","test_02_dashboard","TestDashBoard","","","Verify top horizontal modules as per client config",""
"broken","Mon Aug 25 14:01:53 UTC 2025","Mon Aug 25 14:02:18 UTC 2025","25263","src.tests","test_04_flight","TestFlights","","","Verifying page views functionality",""
"passed","Mon Aug 25 14:00:18 UTC 2025","Mon Aug 25 14:01:02 UTC 2025","44608","src.tests","test_04_flight","TestFlights","","","Verifying group by filter feature functionality",""
"broken","Mon Aug 25 13:58:58 UTC 2025","Mon Aug 25 13:59:30 UTC 2025","31689","src.tests","test_04_flight","TestFlights","","","contains filter functionality",""
"passed","Mon Aug 25 13:49:55 UTC 2025","Mon Aug 25 13:50:10 UTC 2025","15200","src.tests","test_03_credentials","TestCredentials","","","verifying the label name the cards",""
"passed","Mon Aug 25 13:42:10 UTC 2025","Mon Aug 25 13:42:23 UTC 2025","12078","src.tests","test_01_login","TestLogin","","","Login and logout",""
"failed","Mon Aug 25 13:50:13 UTC 2025","Mon Aug 25 13:50:39 UTC 2025","25132","src.tests","test_03_credentials","TestCredentials","","","verifying the GST table heading label name",""
"passed","Mon Aug 25 13:42:03 UTC 2025","Mon Aug 25 13:42:04 UTC 2025","570","src.tests","test_01_login","TestLogin","","","Login with empty username",""
"passed","Mon Aug 25 13:48:51 UTC 2025","Mon Aug 25 13:49:34 UTC 2025","43093","src.tests","test_03_credentials","TestCredentials","","","verifying take action button functionality",""
"failed","Mon Aug 25 13:50:41 UTC 2025","Mon Aug 25 13:50:58 UTC 2025","16497","src.tests","test_03_credentials","TestCredentials","","","verifying the airline table heading label name",""
"passed","Mon Aug 25 13:48:28 UTC 2025","Mon Aug 25 13:48:46 UTC 2025","17627","src.tests","test_02_dashboard","TestDashBoard","","","Dashboard load time performance benchmark","Measure and validate dashboard load times"
"passed","Mon Aug 25 13:45:26 UTC 2025","Mon Aug 25 13:47:35 UTC 2025","129461","src.tests","test_02_dashboard","TestDashBoard","","","Verify transaction value changes when selecting options in all filter dropdowns",""
